Model,Avg RMSE,Avg Time (s),Fold 1 RMSE,Fold 2 RMSE,Fold 3 RMSE,Fold 4 RMSE,Fold 5 RMSE
ALS(rank=50),0.9437560121360467,64.78362832069396,0.9454045833648875,0.9443433260164006,0.942368393756981,0.9446535993129962,0.9420101582289672
ALS(rank=100),0.9437568051654794,151.69378156661986,0.9454046736599456,0.9443427585777332,0.9423720582518516,0.9446539593571632,0.9420105759807041
ALS(rank=150),0.9437565691399621,302.81552000045775,0.9454045241624442,0.9443425847302593,0.9423712389826533,0.9446541330068865,0.942010364817567
ALS(rank=200),0.9437570191687066,456.1829107761383,0.9454045675564492,0.9443426331946831,0.9423722078533336,0.9446553899341726,0.942010297304894
