Model,Avg RMSE,Avg Time (s),Fold 1 RMSE,Fold 2 RMSE,Fold 3 RMSE,Fold 4 RMSE,Fold 5 RMSE
SoftImpute(rank=50),0.9437565455272072,203.28427844047548,0.9454044002526927,0.9443419613471615,0.942372697375988,0.9446538634169923,0.9420098052432008
SoftImpute(rank=100),0.9437565632674921,273.06417355537417,0.9454044106452076,0.9443419851737194,0.9423727415724065,0.9446538733235216,0.9420098056226057
SoftImpute(rank=150),0.9437565651151326,366.658860206604,0.9454044116973788,0.944341978845641,0.9423727539678282,0.9446538754068624,0.9420098056579528
SoftImpute(rank=200),0.9437565655845335,418.3841066837311,0.9454044109845294,0.9443419809475215,0.9423727543984757,0.9446538760372977,0.9420098055548428
